epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10246,0.97277,5.18954,0.02195,0.00701,0.85714,0.22739,0.15481,0.95144,8.5374,0.03117,3.334e-05,3.334e-05,3.334e-05
2,5.55964,0.71105,5.08727,0.01598,0.00802,0.92857,0.21712,0.16852,0.60301,8.20796,0.01656,8.00493e-05,8.00493e-05,8.00493e-05
3,7.57618,0.64397,4.59363,0.01224,0.00647,0.92857,0.27344,0.24552,0.60752,8.075,0.01706,0.000122798,0.000122798,0.000122798
4,9.15806,0.57998,4.7328,0.01406,0.03317,0.85714,0.42066,0.36866,0.61717,7.70961,0.01708,0.000161586,0.000161586,0.000161586
5,10.6278,0.50716,4.40471,0.0104,0.27326,0.60714,0.41176,0.33492,0.8763,7.68275,0.0281,0.000196413,0.000196413,0.000196413
6,12.0366,0.65541,4.39699,0.01648,0.55968,0.42764,0.44327,0.3784,0.75033,7.27617,0.02305,0.000227279,0.000227279,0.000227279
7,13.461,0.39881,4.02378,0.0085,0.50853,0.46429,0.44662,0.40317,0.52179,6.67147,0.01408,0.000254184,0.000254184,0.000254184
8,15.1428,0.64856,4.88518,0.02271,0.45425,0.48978,0.44151,0.4019,0.50446,6.42159,0.01377,0.000277129,0.000277129,0.000277129
9,17.505,0.63401,4.42218,0.01675,0.39449,0.53571,0.41274,0.37898,0.5195,5.93479,0.01519,0.000296113,0.000296113,0.000296113
10,19.5464,0.33884,4.33431,0.00779,0.41888,0.53571,0.42832,0.38401,0.64881,5.77558,0.02095,0.000311136,0.000311136,0.000311136
11,20.9469,0.34244,3.34857,0.00743,0.24882,0.60714,0.38245,0.32488,0.78586,5.48421,0.02776,0.000322198,0.000322198,0.000322198
12,22.5213,0.41143,3.17247,0.009,0.21149,0.60714,0.38178,0.3309,0.68911,5.26644,0.02381,0.000329299,0.000329299,0.000329299
13,23.9512,0.44621,3.21219,0.01051,1,0.20348,0.41898,0.39697,0.4081,4.67588,0.0128,0.00033244,0.00033244,0.00033244
14,25.2947,0.44086,3.27253,0.01034,0.76176,0.28571,0.46007,0.43124,0.36913,4.50405,0.01145,0.00033162,0.00033162,0.00033162
15,26.7507,0.40908,3.18981,0.00835,0.75528,0.37373,0.49461,0.44565,0.52352,4.455,0.01658,0.000326839,0.000326839,0.000326839
16,30.8718,0.42556,7.45336,0.01262,0.75502,0.35714,0.48988,0.4414,0.51231,4.51447,0.01629,0.000318097,0.000318097,0.000318097
17,33.814,0.83403,8.21382,0.03325,0.79837,0.28571,0.50156,0.44157,0.48756,4.56277,0.01497,0.000305394,0.000305394,0.000305394
18,35.2053,0.48068,7.2749,0.0145,0.83749,0.28571,0.49836,0.46817,0.40597,4.55647,0.01171,0.000288731,0.000288731,0.000288731
19,36.583,0.47822,7.27339,0.01475,0.81653,0.28571,0.49824,0.46807,0.43953,4.63203,0.01315,0.000268107,0.000268107,0.000268107
20,37.9046,0.49588,7.61253,0.01628,0.91214,0.35714,0.53437,0.5119,0.38059,4.57876,0.01112,0.000243522,0.000243522,0.000243522
21,39.6554,0.42851,7.07647,0.01245,0.88271,0.35714,0.53068,0.50904,0.34605,4.55964,0.01032,0.000214976,0.000214976,0.000214976
22,41.0046,0.39223,6.81927,0.01295,0.86642,0.35714,0.52497,0.51309,0.34833,4.5296,0.01087,0.00018247,0.00018247,0.00018247
23,42.3631,0.44131,6.97119,0.01689,0.89325,0.35714,0.57113,0.54627,0.35821,4.49567,0.0115,0.000146003,0.000146003,0.000146003
24,43.7422,0.31066,7.07177,0.00985,0.91592,0.35394,0.53776,0.52298,0.33711,4.44604,0.01045,0.000105574,0.000105574,0.000105574
25,45.8644,0.32092,6.3919,0.01159,0.81486,0.35714,0.52597,0.51912,0.33436,4.4091,0.01043,6.11856e-05,6.11856e-05,6.11856e-05
