epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9541,0.76276,5.98014,0.01665,0.004,1,0.07862,0.05372,0.44568,3.27816,0.0169,0.00013842,0.00013842,0.00013842
2,17.5669,0.64534,5.68758,0.01359,0.00388,1,0.10587,0.08675,0.47786,3.25264,0.01821,0.000278896,0.000278896,0.000278896
3,25.7842,0.63544,5.27382,0.01359,0.00359,1,0.20843,0.17192,0.56122,3.19592,0.02118,0.000413587,0.000413587,0.000413587
4,34.2843,0.71173,4.88273,0.01556,0.90015,0.04762,0.2857,0.2399,0.59917,2.89242,0.02409,0.000542491,0.000542491,0.000542491
5,42.1758,0.68577,4.35082,0.01501,0.97451,0.07893,0.37785,0.31079,0.67935,2.63622,0.02692,0.000665609,0.000665609,0.000665609
6,51.6329,0.76526,3.99606,0.01664,0.39504,0.44047,0.51383,0.40814,0.78336,1.89866,0.03213,0.000692869,0.000692869,0.000692869
7,59.2927,0.75954,3.6885,0.01629,0.53053,0.64891,0.68208,0.55028,0.78276,1.64755,0.0318,0.000677643,0.000677643,0.000677643
8,67.9607,0.76107,3.39602,0.01694,0.57923,0.68455,0.67205,0.5394,0.78529,1.48857,0.03188,0.000662417,0.000662417,0.000662417
9,75.1115,0.73959,3.30028,0.01581,0.61987,0.67111,0.70124,0.58079,0.7668,1.44496,0.03071,0.00064719,0.00064719,0.00064719
10,83.881,0.74749,3.02342,0.01664,0.5816,0.70401,0.724,0.58682,0.79552,1.30346,0.03241,0.000631964,0.000631964,0.000631964
11,90.7085,0.69948,2.8423,0.01484,0.67016,0.68115,0.78521,0.63121,0.83247,1.23073,0.03278,0.000616738,0.000616738,0.000616738
12,99.152,0.7273,2.74417,0.01564,0.64431,0.61323,0.68739,0.56475,0.69955,1.39223,0.02768,0.000601512,0.000601512,0.000601512
13,106.123,0.68046,2.55025,0.01456,0.72631,0.66127,0.8292,0.6733,0.80008,0.96255,0.0327,0.000586286,0.000586286,0.000586286
14,114.383,0.66643,2.46131,0.01393,0.81763,0.70891,0.87458,0.74212,0.64148,0.85888,0.02441,0.000571059,0.000571059,0.000571059
15,123.906,0.67961,2.34716,0.01379,0.69506,0.73323,0.76546,0.64254,0.65903,1.0882,0.02533,0.000555833,0.000555833,0.000555833
16,130.824,0.67083,2.15692,0.01419,0.84791,0.74271,0.90437,0.76525,0.68343,0.75185,0.02664,0.000540607,0.000540607,0.000540607
17,139.681,0.68512,2.15619,0.01469,0.82918,0.77361,0.91264,0.77556,0.65646,0.74663,0.02548,0.000525381,0.000525381,0.000525381
18,146.619,0.66476,1.96919,0.01387,0.77113,0.85892,0.89096,0.73718,0.7151,0.76364,0.02799,0.000510155,0.000510155,0.000510155
19,155.55,0.67035,1.89576,0.01417,0.8155,0.77281,0.89727,0.74939,0.69527,0.81126,0.02756,0.000494928,0.000494928,0.000494928
20,162.425,0.6498,1.81113,0.01339,0.88798,0.85928,0.94665,0.81179,0.61084,0.55679,0.02362,0.000479702,0.000479702,0.000479702
21,171.009,0.62836,1.73854,0.01323,0.87676,0.88047,0.95688,0.81127,0.65942,0.54001,0.0256,0.000464476,0.000464476,0.000464476
22,177.711,0.63136,1.66108,0.01302,0.88243,0.88122,0.95506,0.84146,0.59769,0.50235,0.02293,0.00044925,0.00044925,0.00044925
23,185.91,0.65432,1.53787,0.01336,0.86521,0.90153,0.95876,0.82842,0.64383,0.51491,0.02525,0.000434024,0.000434024,0.000434024
24,194.466,0.59104,1.48003,0.01186,0.90721,0.90603,0.96886,0.82401,0.66638,0.45953,0.0262,0.000418797,0.000418797,0.000418797
25,202.709,0.61641,1.47369,0.01275,0.86715,0.88681,0.96649,0.83614,0.60751,0.49544,0.0236,0.000403571,0.000403571,0.000403571
26,209.508,0.60906,1.4133,0.01282,0.95299,0.84024,0.97035,0.84404,0.58502,0.50887,0.02271,0.000388345,0.000388345,0.000388345
27,217.849,0.63225,1.39685,0.01331,0.9001,0.9237,0.97543,0.83291,0.6126,0.4347,0.02408,0.000373119,0.000373119,0.000373119
28,226.531,0.6475,1.34728,0.01372,0.8882,0.89976,0.96249,0.82193,0.62795,0.46331,0.02465,0.000357893,0.000357893,0.000357893
29,233.565,0.58587,1.24424,0.01227,0.87193,0.93918,0.96953,0.82066,0.6432,0.4814,0.02505,0.000342666,0.000342666,0.000342666
30,241.225,0.62036,1.3076,0.01285,0.85787,0.89281,0.9614,0.80689,0.64775,0.49045,0.0258,0.00032744,0.00032744,0.00032744
31,248.646,0.62452,1.22038,0.01225,0.96779,0.91704,0.98347,0.84274,0.60588,0.40156,0.02376,0.000312214,0.000312214,0.000312214
32,258.363,0.60263,1.20131,0.01245,0.92019,0.91442,0.9693,0.83091,0.65428,0.48113,0.02561,0.000296988,0.000296988,0.000296988
33,265.025,0.6295,1.13838,0.01319,0.95837,0.83292,0.95561,0.82982,0.60639,0.47356,0.02388,0.000281762,0.000281762,0.000281762
34,273.709,0.55343,1.09226,0.01135,0.91524,0.92457,0.97663,0.84475,0.61148,0.4268,0.0236,0.000266535,0.000266535,0.000266535
35,280.509,0.57449,1.09601,0.01161,0.90411,0.9509,0.98027,0.84561,0.6065,0.39211,0.02359,0.000251309,0.000251309,0.000251309
36,289.291,0.61424,1.12026,0.01256,0.92145,0.90327,0.97294,0.83631,0.60952,0.43396,0.02359,0.000236083,0.000236083,0.000236083
37,296.559,0.57252,1.0367,0.01149,0.87659,0.90077,0.96823,0.83202,0.61099,0.44723,0.0237,0.000220857,0.000220857,0.000220857
38,305.01,0.54782,1.01465,0.01121,0.93576,0.90308,0.9773,0.84356,0.61518,0.38581,0.02357,0.000205631,0.000205631,0.000205631
39,311.647,0.54656,1.02286,0.01077,0.91184,0.92428,0.97725,0.83183,0.62807,0.3847,0.0245,0.000190404,0.000190404,0.000190404
40,320.396,0.60532,1.02784,0.01214,0.95717,0.90467,0.97975,0.83682,0.6158,0.37079,0.02414,0.000175178,0.000175178,0.000175178
41,331.566,0.58175,2.26705,0.01774,0.91374,0.95734,0.9858,0.83621,0.65402,0.41004,0.02596,0.000159952,0.000159952,0.000159952
42,338.382,0.55396,2.13583,0.01753,0.90306,0.86888,0.96948,0.80201,0.69345,0.61994,0.02684,0.000144726,0.000144726,0.000144726
43,346.704,0.59084,2.10687,0.01839,0.81101,0.92786,0.96381,0.81197,0.67025,0.60962,0.02616,0.0001295,0.0001295,0.0001295
44,353.154,0.55918,2.02159,0.01762,0.87491,0.83292,0.95341,0.80844,0.63943,0.46775,0.02504,0.000114273,0.000114273,0.000114273
45,361.094,0.51734,1.91673,0.01525,0.7981,0.9515,0.95857,0.81846,0.6003,0.47249,0.0231,9.90472e-05,9.90472e-05,9.90472e-05
46,367.542,0.50068,1.89022,0.01453,0.92947,0.88997,0.97225,0.83446,0.60495,0.44444,0.02339,8.3821e-05,8.3821e-05,8.3821e-05
47,375.277,0.49683,1.85182,0.01448,0.94866,0.90658,0.98413,0.8452,0.58944,0.39604,0.02297,6.85948e-05,6.85948e-05,6.85948e-05
48,381.975,0.5023,1.77892,0.01424,0.94618,0.91559,0.98346,0.85246,0.5882,0.35782,0.02262,5.33686e-05,5.33686e-05,5.33686e-05
49,390.489,0.47485,1.80293,0.01316,0.94829,0.91728,0.98372,0.85429,0.59032,0.35675,0.02274,3.81424e-05,3.81424e-05,3.81424e-05
50,397.114,0.47737,1.77559,0.01384,0.97191,0.88847,0.98275,0.85101,0.59044,0.36185,0.02279,2.29162e-05,2.29162e-05,2.29162e-05
